作業名,"※1
１階の柱１本当たりの面積",2階以下,3階以上,"※1
１階の柱１本当たりの面積",2階以下,3階以上
,15㎡ 未満,0.736,1.193,24～27㎡ 未満,1.089,1.364
,15～18㎡ 未満,0.824,1.236,27～30㎡ 未満,1.177,1.406
,18～21㎡ 未満,0.912,1.278,30～33㎡ 未満,1.265,1.448
,21～24㎡ 未満,1.000,1.320,33㎡ 以上,1.353,1.490
