作業名,名称,摘要,単位,"片開き
幅高さmm
900×2,100","両開き
幅高さmm
1,800×2,100","引違い
幅高さmm
1,800×2,100",備考
アルミニウム製出入口戸取付け (１㎡当たり),サッシ工,,人,0.2,0.19,0.19,
アルミニウム製出入口戸取付け (１㎡当たり),普通作業員,,人,0.04,0.04,0.04,
アルミニウム製出入口戸取付け (１㎡当たり),そ の 他,,式,1,1,1,
