作業名,0.062,0.038
00,0.074,0.046
00,"0.081
0.089
0.097","0.047
0.051
0.056"
00,"0.105
0.133
0.155
0.176
0.214","0.060
0.068
0.077
0.085
0.101"
00,0.277,0.123
