作業名,"保
温
工
［人］","ダ
ク
ト
工
［人］"
0.03,0.056,0.093
0.03,0.058,0.099
0.03,0.064,0.106
0.03,0.068,0.115
0.03,0.073,0.121
0.03,0.080,0.135
0.03,0.087,0.151
0.03,0.096,0.165
0.03,0.127,0.202
0.03,0.150,0.229
0.03,0.169,0.257
0.03,0.218,0.320
0.03,0.289,0.378
0.03,0.371,0.432
