作業名,Unnamed:1,Unnamed:2,材,料,Unnamed:5,Unnamed:6,Unnamed:7,Unnamed:8
中,,,,,,,,
中,,,,,,雑,運,保
中,呼単,ロックウール保温筒 アルミガラスクロス,ロックウール保温筒 アルミガラスクロス,ロックウール保温筒 アルミガラスクロス,ロックウール保温筒 アルミガラスクロス,,,
中,,［ｍ］,,［ｍ］,,材,搬,温
中,"び
位",,,,,,,工
中,径,20厚 25厚,40厚 75幅,100幅 125幅,150幅,料,費,［人］
中,15,1.05 －,－ 4.3,－－,－,,,0.052
中,20,1.05 －,－ 4.7,－－,－,,,0.056
中,25,1.05 －,－－,3.6 －,－,,,0.061
中,32,1.05 －,－－,4.0 －,－,,,0.065
中,,,,,,,１,
中,40,1.05 －,－－,4.3 －,－,,式,0.071
中,,,,,,,,
中,50,1.05 －,－－,4.9 －,－,１,材,0.077
中,,,,,,式,料,
中,,,,,,,費,
中,65,1.05 －,－－,－ 4.3,－,材,＋,0.082
中,m,,,,,料,雑,
中,80,1.05 －,－－,－ 4.8,－,"費
×","材
料",0.091
中,,,,,,0.05,費,
中,100,－ 1.05,－－,－－,4.9,,),0.122
中,,,,,,,×,
中,125,－ 1.05,－－,－－,5.7,,0.03,0.143
中,,,,,,,,
中,150,－ 1.05,－－,－－,6.4,,,0.163
中,200,－－,1.05 －,－－,8.9,,,0.231
中,250,－－,1.05 －,－－,10.4,,,0.291
中,300,－－,1.05 －,－－,12.0,,,0.359
