作業名,名称,摘要,単位,"厚5mm
特寸2.0㎡以下","厚5mm
特寸4.0㎡以下","厚6mm
特寸2.0㎡以下","厚6mm
特寸4.0㎡以下",備考
"強化ガラス(厚5,6mm) (1㎡当たり)",強化ガラス,,㎡,1.0,1.0,1.0,1.0,
"強化ガラス(厚5,6mm) (1㎡当たり)",ガ ラ ス 工,,人,0.09,0.14,0.09,0.14,
"強化ガラス(厚5,6mm) (1㎡当たり)",そ の 他,,式,1,1,1,1,
