作業名,"－
－","6.9－
7.4－","－－
－－","－4.2
－4.6"
質,"－
－","－ 7.6
－ 8.0","－－
－－","－－
－－"
質,"－
－","－ 8.7
－ 9.5","－－
－－","－－
－－"
質,"－
－","－－
－－","8.6 －
9.8 －","－－
－－"
質,"－
－
－
1.05","－－
－－
－－
－－","11.0 －
12.2 －
－ 11.0
－ 13.6","－－
－－
－－
－－"
