作業名,名称,摘要,単位,100㎜角,備考
表 RA -11- 6 【設】【専】 内装壁タイル(改良積上げ張り) (1㎡当たり),内装タイル,,枚,102,
表 RA -11- 6 【設】【専】 内装壁タイル(改良積上げ張り) (1㎡当たり),セ メ ン ト,,kg,5.8,
表 RA -11- 6 【設】【専】 内装壁タイル(改良積上げ張り) (1㎡当たり),細 骨 材,砂,ｍ3,0.019,
表 RA -11- 6 【設】【専】 内装壁タイル(改良積上げ張り) (1㎡当たり),タ イ ル 工,,人,0.25,
表 RA -11- 6 【設】【専】 内装壁タイル(改良積上げ張り) (1㎡当たり),普通作業員,,人,0.08,
表 RA -11- 6 【設】【専】 内装壁タイル(改良積上げ張り) (1㎡当たり),そ の 他,,式,1,
