作業名,"0.064
0.068","0.036
0.038"
1式,"0.078
0.084","0.046
0.047"
1式,"0.091
0.098","0.051
0.056"
1式,"0.108
0.141","0.060
0.068"
1式,"0.161
0.186
0.201
0.298","0.077
0.085
0.101
0.123"
