作業名,"1,829",Unnamed:2,Unnamed:3,Unnamed:4
［mm］ ［mm］,mm幅,1.2t,1.6t,1.0t
［mm］ ［mm］,コイル,,,
［mm］ ［mm］,［ｍ２］,［個］,［個］,［個］
