作業名,名称,摘要,単位,Ａ種,Ｂ種,備考
【改修標仕仕様】亜鉛めっき鋼面つや有合成樹脂ｴﾏﾙｼｮﾝﾍﾟｲﾝﾄ塗り(ＥＰ－Ｇ) (1㎡当たり),つや有合成樹脂 エマルションペイント,JIS K 5660,kg,0.2,0.2,
【改修標仕仕様】亜鉛めっき鋼面つや有合成樹脂ｴﾏﾙｼｮﾝﾍﾟｲﾝﾄ塗り(ＥＰ－Ｇ) (1㎡当たり),塗 装 工,,人,0.029,0.029,
【改修標仕仕様】亜鉛めっき鋼面つや有合成樹脂ｴﾏﾙｼｮﾝﾍﾟｲﾝﾄ塗り(ＥＰ－Ｇ) (1㎡当たり),そ の 他,,式,1,1,
