作業名,0.043,0.104
1式,"0.047
0.055
0.061
0.066","0.113
0.138
0.142
0.156"
1式,0.080,0.195
1式,"0.088
0.115
0.132","0.208
0.237
0.267"
1式,0.155,0.294
1式,0.190,0.363
