作業名,名称,摘要,単位,Ａ種,Ｂ種,備考
【標仕仕様】鉄鋼面つや有合成樹脂エマルションペイント塗り(ＥＰ－Ｇ) (1㎡当たり),"つや有合成樹脂
エマルションペイント",JIS K 5660,kg,0.3,0.2,
【標仕仕様】鉄鋼面つや有合成樹脂エマルションペイント塗り(ＥＰ－Ｇ) (1㎡当たり),研 磨 紙,P220～240,枚,0.25,―,
【標仕仕様】鉄鋼面つや有合成樹脂エマルションペイント塗り(ＥＰ－Ｇ) (1㎡当たり),塗 装 工,,人,0.048,0.029,
【標仕仕様】鉄鋼面つや有合成樹脂エマルションペイント塗り(ＥＰ－Ｇ) (1㎡当たり),そ の 他,,式,1,1,
