作業名,"－
－
－
－
－","5.1
5.4
6.0
6.6
7.0","－
－
－
－
－"
1,－,7.9,－
1,－,－,7.2
1,－,－,8.0
1,"－
－
－
1.05","－
－
－
－","－
－
－
－"
1,"1.05
1.05","－
－","－
－"
