作業名,Unnamed:1,Unnamed:2,Unnamed:3,ＲＣ造,ＲＣ造.1,ＲＣ造.2,Ｓ,ＲＣ,造
鉄筋組立	(1t当たり),名 称,摘 要,単位,太 物,太 物,細 物,太 物,細 物,スパイラル
鉄筋組立	(1t当たり),,,,(圧接),(重ね),,(圧接),,筋
鉄筋組立	(1t当たり),鉄 筋 工,,人,0.79,0.93,2.13,1.0,2.25,1.73
鉄筋組立	(1t当たり),普 通 作 業 員,,人,0.13,0.15,0.41,0.17,0.43,0.32
鉄筋組立	(1t当たり),結 束 線,#21,㎏,0.5,1.0,6.0,0.5,6.0,5.0
鉄筋組立	(1t当たり),そ の 他,,式,1,1,1,1,1,1
