作業名,"0.064
0.068
0.078
0.084","0.089
0.095
0.117
0.121"
1式,0.091,0.131
1式,"0.098
0.108
0.141","0.143
0.153
0.174"
1式,0.161,0.196
1式,0.186,0.216
