作業名,0.062,0.095
11,0.074,0.117
11,"0.081
0.089","0.121
0.131"
11,0.097,0.143
11,"0.105
0.133
0.155
0.176","0.153
0.174
0.196
0.216"
11,"0.214
0.277","0.256
0.312"
