作業名,名称,摘要,単位,所要量,備考
根切り 山留め付き総掘り 切梁腹起方式(バックホウ1.4ｍ3)	(1ｍ3当たり),バックホウ運転,1.4ｍ3,日,0.0044,
根切り 山留め付き総掘り 切梁腹起方式(バックホウ1.4ｍ3)	(1ｍ3当たり),普通作業員,,人,0.009,
根切り 山留め付き総掘り 切梁腹起方式(バックホウ1.4ｍ3)	(1ｍ3当たり),そ の 他,,式,1,
