作業名,名称,摘要,単位,Ａ種,Ｂ種,備考
【改修標仕仕様】ラッカーエナメル塗り(ＬＥ)(糸幅:300mm以下) (1ｍ当たり),セラックニス類,JASS 18 M-308,kg,0.001,－,
【改修標仕仕様】ラッカーエナメル塗り(ＬＥ)(糸幅:300mm以下) (1ｍ当たり),合成樹脂エマルションパテ,JIS K 5669(耐水形),kg,0.006,0.006,
【改修標仕仕様】ラッカーエナメル塗り(ＬＥ)(糸幅:300mm以下) (1ｍ当たり),ラッカー系シーラー,JIS K 5533,kg,0.01,0.01,ウッドシーラー
【改修標仕仕様】ラッカーエナメル塗り(ＬＥ)(糸幅:300mm以下) (1ｍ当たり),ラッカー系下地塗料,JIS K 5535,kg,0.028,0.028,ラッカーサーフェーサー
【改修標仕仕様】ラッカーエナメル塗り(ＬＥ)(糸幅:300mm以下) (1ｍ当たり),ニトロセルロースラッカー,JIS K 5331,kg,0.024,0.016,ラッカーエナメル
【改修標仕仕様】ラッカーエナメル塗り(ＬＥ)(糸幅:300mm以下) (1ｍ当たり),研 磨 紙,P120～220,枚,0.013,0.013,
【改修標仕仕様】ラッカーエナメル塗り(ＬＥ)(糸幅:300mm以下) (1ｍ当たり),研 磨 紙,P220～240,枚,0.013,0.013,
【改修標仕仕様】ラッカーエナメル塗り(ＬＥ)(糸幅:300mm以下) (1ｍ当たり),研 磨 紙,P320～400,枚,0.05,0.05,
【改修標仕仕様】ラッカーエナメル塗り(ＬＥ)(糸幅:300mm以下) (1ｍ当たり),塗 装 工,,人,0.049,0.042,
【改修標仕仕様】ラッカーエナメル塗り(ＬＥ)(糸幅:300mm以下) (1ｍ当たり),そ の 他,,式,1,1,
