作業名,細目,摘要,摘要.1,単位,材料,材料.1,"雑

材

料","電

工","そ

の

他",備考
ＨＩＤ灯器具(ア),細　目,摘　要,摘　要,単位,"Ｈ
Ｉ
Ｄ
灯
器
具","灯
具
昇
降
装
置","雑
　
材
　
料","電
　
工","そ
　
の
　
他",備考
ＨＩＤ灯器具(ア),,,,,［個］,,,［人］,,
ＨＩＤ灯器具(ア),,投光器,400Ｗ以下,,1,,,1.430,,
ＨＩＤ灯器具(ア),,投光器,1000Ｗ以下,,1,,,1.740,,
ＨＩＤ灯器具(ア),,直付,250Ｗ以下,,1,,,0.304,,
ＨＩＤ灯器具(ア),,"直付
直付","400Ｗ以下
1000Ｗ以下",,"1
1",,"１式
材
料
価
格","0.348
0.417",,
ＨＩＤ灯器具(ア),ＨＩＤ灯器具,"ﾊﾟｲﾌﾟﾍﾟﾝﾀﾞﾝﾄ 250Ｗ以下
ﾊﾟｲﾌﾟﾍﾟﾝﾀﾞﾝﾄ 400Ｗ以下","ﾊﾟｲﾌﾟﾍﾟﾝﾀﾞﾝﾄ 250Ｗ以下
ﾊﾟｲﾌﾟﾍﾟﾝﾀﾞﾝﾄ 400Ｗ以下",個,"1
1",,"１式
材
料
価
格","0.330
0.391",１式,
ＨＩＤ灯器具(ア),,ﾊﾟｲﾌﾟﾍﾟﾝﾀﾞﾝﾄ 1000Ｗ以下,ﾊﾟｲﾌﾟﾍﾟﾝﾀﾞﾝﾄ 1000Ｗ以下,,1,,"１式
材
料
価
格",0.470,１式,
ＨＩＤ灯器具(ア),,埋込,150Ｗ以下,,1,,×,0.240,,
ＨＩＤ灯器具(ア),,埋込,250Ｗ以下,,1,,0.02,0.357,,
ＨＩＤ灯器具(ア),,埋込,400Ｗ以下,,1,,,0.409,,
ＨＩＤ灯器具(ア),,昇降装置,昇降装置,個,,1,,0.200,,
ＨＩＤ灯器具(ア),灯具昇降装置,滑 車,滑 車,個,,1,,0.080,,
ＨＩＤ灯器具(ア),,ワイヤー,ワイヤー,ｍ,,1,,0.020,,
