作業名,Unnamed:1,材,Unnamed:3,料,Unnamed:5,Unnamed:6,Unnamed:7
［人］,,,,,,,雑
［人］,グラスウール保温筒,グラスウール保温筒,ポリエチレンフィルム,ポリエチレンフィルム,合成樹脂製,,
［人］,,［ｍ］,［ｍ］,,カバー１,カバー,材
［人］,,,,,(シートタイプ),ピン,
［人］,30厚,40厚 50厚 100幅,125幅 150幅,200幅 250幅,［ｍ２］,［個］,料
