作業名,名称,摘要,単位,Ａ－１,Ａ－１.1,Ａ－２,Ａ－２.1,備考
表 RA - 9 - 1 【市】 屋根保護防水密着工法 (１㎡当たり),名 称,摘 要,単位,平 面,"立上り
立下り面",平 面,"立上り
立下り面",備 考
表 RA - 9 - 1 【市】 屋根保護防水密着工法 (１㎡当たり),アスファルトプライマー,,㎏,0.2,0.2,0.2,0.2,
表 RA - 9 - 1 【市】 屋根保護防水密着工法 (１㎡当たり),アスファルト,3種,㎏,6.0,6.93,5.0,5.93,
表 RA - 9 - 1 【市】 屋根保護防水密着工法 (１㎡当たり),ゴムアスファルト系シール材,,L,―,0.25,―,0.25,
表 RA - 9 - 1 【市】 屋根保護防水密着工法 (１㎡当たり),アスファルトルーフィング,1500,㎡,2.28,2.28,1.14,1.14,
表 RA - 9 - 1 【市】 屋根保護防水密着工法 (１㎡当たり),網状アスファルトルーフィング,,㎡,―,0.26,―,0.26,
表 RA - 9 - 1 【市】 屋根保護防水密着工法 (１㎡当たり),ストレッチルーフィング,1000,㎡,2.28,3.14,2.28,3.14,
表 RA - 9 - 1 【市】 屋根保護防水密着工法 (１㎡当たり),ポリエチレンフィルム,厚0.15㎜,㎡,1.1,―,1.1,―,
表 RA - 9 - 1 【市】 屋根保護防水密着工法 (１㎡当たり),燃料,重油,L,1.8,2.1,1.5,1.8,
表 RA - 9 - 1 【市】 屋根保護防水密着工法 (１㎡当たり),防水工,,人,0.081,0.13,0.066,0.11,
表 RA - 9 - 1 【市】 屋根保護防水密着工法 (１㎡当たり),普通作業員,,人,0.026,0.041,0.021,0.035,
表 RA - 9 - 1 【市】 屋根保護防水密着工法 (１㎡当たり),その他,,式,1,1,1,1,
