作業名,名称,摘要,単位,所要量,備考
【改修標仕仕様】オイルステイン塗り(ＯＳ) (1㎡当たり),オイルステイン,,kg,0.06,
【改修標仕仕様】オイルステイン塗り(ＯＳ) (1㎡当たり),塗装工,,人,0.052,
【改修標仕仕様】オイルステイン塗り(ＯＳ) (1㎡当たり),その他,,式,1,
