作業名,Unnamed:1,材,Unnamed:3,Unnamed:4,料,Unnamed:6,Unnamed:7
冷水・冷温水管(膨張管を含む。)及び冷媒管(6/8),"グラスウール保温筒
［ｍ］","グラスウール保温筒
［ｍ］",,"ポリエチレンフィルム
［ｍ］","ポリエチレンフィルム
［ｍ］","着色アルミ
ガラスクロス
［ｍ］","着色アルミ
ガラスクロス
［ｍ］"
冷水・冷温水管(膨張管を含む。)及び冷媒管(6/8),30厚,40厚 50厚,100幅,125幅 150幅,200幅 250幅,100幅 125幅,150幅
