作業名,摘,摘,要,要,"単
位",材,材,材,材,材,材,材,料,料,料,料,料,"雑
材
料","運
搬
費","保
温
工
［人］","そ
の
他"
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),"区
分","保
温
材
質","施
工
箇
所","呼
び
径","単
位","ロックウール保温筒
［ｍ］","ロックウール保温筒
［ｍ］","ロックウール保温筒
［ｍ］","ポリエチレンフィルム
［ｍ］","ポリエチレンフィルム
［ｍ］","ポリエチレンフィルム
［ｍ］","ポリエチレンフィルム
［ｍ］","着色アルミガラスクロス
［ｍ］","着色アルミガラスクロス
［ｍ］","着色アルミガラスクロス
［ｍ］","着色アルミガラスクロス
［ｍ］","着色アルミガラスクロス
［ｍ］","雑
材
料","運
搬
費","保
温
工
［人］","そ
の
他"
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),"区
分","保
温
材
質","施
工
箇
所","呼
び
径","単
位",20厚 25厚,20厚 25厚,40厚,100幅,125幅,150幅 200幅,150幅 200幅,250幅,75幅 100幅 125幅,75幅 100幅 125幅,75幅 100幅 125幅,150幅,"雑
材
料","運
搬
費","保
温
工
［人］","そ
の
他"
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),,,,15,,1.05,－,－,5.1,－,－,－,－,4.3,－,－,－,,,0.062,
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),,,,20,,1.05,－,－,5.4,－,－,－,－,4.7,－,－,－,,,0.068,
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),"給
水",,,25,,1.05,－,－,6.0,－,－,－,－,－,3.6,－,－,,,0.073,
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),"管
、
排",,,32,,1.05,－,－,6.6,－,－,－,－,－,4.0,－,－,,１,0.078,
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),"水
管",,暗,40,,1.05,－,－,7.0,－,－,－,－,－,4.3,－,－,,"式
材
料",0.086,
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),"、
給
湯","ロ
ッ
ク","渠
内",50,,1.05,－,－,7.9,－,－,－,－,－,4.9,－,－,"１
式","式
材
料",0.094,
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),"管
及
び
温
水","ロ
ッ
ク","ピ
ッ
ト
内
を",65,m,1.05,－,－,－,7.2,－,－,－,－,－,4.3,－,"材
料
費
×","費
＋
雑",0.102,1
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),"管
及
び
温
水","ウ
ル","ピ
ッ
ト
内
を",80,m,1.05,－,－,－,8.0,－,－,－,－,－,4.8,－,"材
料
費
×","材
料
費
×
0.03",0.113,式
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),"管
膨
張
管
を","ウ
ル","含
む","100
125",,"－
－","1.05
1.05","－
－","－
－","－
－","8.3
9.6","－
－","－
－","－
－","－
－","－
－","4.9
5.7",0.05,"材
料
費
×
0.03","0.150
0.177",
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),"含
む",,,150,,－,1.05,－,－,－,10.8,－,－,－,－,－,6.4,,,0.201,
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),,,,200,,－,－,1.05,－,－,－,11.0,－,－,－,－,8.9,,,0.284,
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),,,,250,,－,－,1.05,－,－,－,12.9,－,－,－,－,10.4,,,0.363,
給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),,,,300,,－,－,1.05,－,－,－,－,11.8,－,－,－,12.0,,,0.428,
