作業名,機械名,規格,"質量
(ｔ)",運搬機械,運搬機械.1,備考
とりこわし機械運搬,機械名,規 格,"質量
(ｔ)",規格,日数(往復),備 考
とりこわし機械運搬,バックホウ,"排出ガス対策型
油圧式クローラ型0.8ｍ3",19.8,トラック11ｔ積,2.0,
とりこわし機械運搬,バックホウ,"排出ガス対策型
油圧式クローラ型0.5ｍ3",12.1,トラック11ｔ積,1.5,
