作業名,Unnamed:1,Unnamed:2,Unnamed:3,Unnamed:4,Unnamed:5,呼,Unnamed:7,び,Unnamed:9,Unnamed:10,径,Unnamed:12,Unnamed:13,Unnamed:14,Unnamed:15
呼び径適用,鋼管,15A,20,25,32,40,50,65,80,100,125,150,200,250,300
呼び径適用,ｽﾃﾝﾚｽ鋼鋼管,20SU,25,30,40,50,60,75,80,100,125,150,200,250,300
呼び径適用,銅管,20CU,25,32,40,－,50,65,80,100,125,150,－,－,－
