作業名,Unnamed:1,Unnamed:2,Unnamed:3,平葺,瓦棒葺,波板葺,Unnamed:7
長尺金属板葺 (1㎡当たり),名 称,摘 要,単位,(四ッ切り),(＠450mm),,備 考
長尺金属板葺 (1㎡当たり),,,,"910×1,820mm","910×1,820mm","760×1,820mm",
長尺金属板葺 (1㎡当たり),長尺金属板,,枚,0.73,0.97,0.9,
長尺金属板葺 (1㎡当たり),くぎ,,kg,0.02,0.03,0.03,
長尺金属板葺 (1㎡当たり),板金工,,人,0.08,0.10,0.03,
長尺金属板葺 (1㎡当たり),普通作業員,,人,0.01,0.014,0.01,
長尺金属板葺 (1㎡当たり),その他,,式,1,1,1,
