作業名,"六角ボ
ルト・
ナット","フラン
ジ用ガ
スケット",Unnamed:3,補強用形鋼,補強用形鋼.1,棒鋼・形鋼
金具,"Ｍ8×
20Ｌ
～25Ｌ","5mm厚
×15",シール材,25×,30×,"Ｍ１０又は呼
び径９"
金具,"Ｍ8×
20Ｌ
～25Ｌ","幅テー
プ",,25×3,30×3,"25× 30×
25×3 30×3"
金具,,"幅テー
プ",,25×3,30×3,"25× 30×
25×3 30×3"
金具,［組］,［ｍ］,［ｋｇ］,［ｋｇ］,［ｋｇ］,［ｋｇ］ ［ｋｇ］
