作業名,0.080,0.129
00,0.098,0.159
00,"0.106
0.116","0.165
0.178"
00,0.131,0.195
00,"0.144
0.175
0.211
0.244","0.208
0.237
0.267
0.294"
00,"0.281
0.380","0.349
0.426"
