作業名,名称,摘要,単位,所要量,備考
根切り 小規模土工(バックホウ0.28ｍ3)	(1ｍ3当たり),バックホウ運転,0.28ｍ3,日,0.025,
根切り 小規模土工(バックホウ0.28ｍ3)	(1ｍ3当たり),普通作業員,,人,0.03,
根切り 小規模土工(バックホウ0.28ｍ3)	(1ｍ3当たり),そ の 他,,式,1,
