作業名,0.062,0.129
1,0.074,0.159
1,"0.081
0.089","0.165
0.178"
1,0.097,0.195
1,"0.105
0.133
0.155
0.176","0.208
0.237
0.267
0.294"
1,"0.214
0.277","0.349
0.426"
