作業名,名称,摘要,単位,所要量,備考
盛土 (バックホウ0.45ｍ3)	(1ｍ3当たり),バックホウ運転,0.45ｍ3,日,0.011,
盛土 (バックホウ0.45ｍ3)	(1ｍ3当たり),振動ローラ運転,0.8～1.1t,日,0.016,
盛土 (バックホウ0.45ｍ3)	(1ｍ3当たり),締 固 め,タンパ,ｍ3,0.1,締固めによる
盛土 (バックホウ0.45ｍ3)	(1ｍ3当たり),普通作業員,,人,0.016,
盛土 (バックホウ0.45ｍ3)	(1ｍ3当たり),そ の 他,,式,1,
