作業名,"0.046
0.049
0.052
0.056
0.061","0.068
0.073
0.078
0.085
0.089"
1式,0.066,0.099
1式,0.071,0.111
1式,0.078,0.121
1式,"0.107
0.122
0.143
0.201","0.151
0.172
0.191
0.256"
1式,"0.250
0.315","0.298
0.339"
