作業名,名称,摘要,単位,シーリング幅,シーリング幅.1,シーリング幅.2,シーリング幅.3,シーリング幅.4
ｼｰﾘﾝｸﾞ(SR-2シリコーン系、MS-2変成シリコーン系、PS-2ポリサルファイド系、PU-2ポリウレタン系)	(１ｍ当たり),名 称,摘 要,単位,10mm以下,"10mmを超え
15mm以下","15mmを超え
20mm以下","20mmを超え
25mm以下","25mmを超え
30mm以下"
ｼｰﾘﾝｸﾞ(SR-2シリコーン系、MS-2変成シリコーン系、PS-2ポリサルファイド系、PU-2ポリウレタン系)	(１ｍ当たり),シーリング材,２成分形,Ｌ,0.055,0.12,0.25,0.34,0.48
ｼｰﾘﾝｸﾞ(SR-2シリコーン系、MS-2変成シリコーン系、PS-2ポリサルファイド系、PU-2ポリウレタン系)	(１ｍ当たり),補足材,シーリング材の10％,式,1,1,1,1,1
ｼｰﾘﾝｸﾞ(SR-2シリコーン系、MS-2変成シリコーン系、PS-2ポリサルファイド系、PU-2ポリウレタン系)	(１ｍ当たり),防水工,,人,0.029,0.034,0.039,0.044,0.049
ｼｰﾘﾝｸﾞ(SR-2シリコーン系、MS-2変成シリコーン系、PS-2ポリサルファイド系、PU-2ポリウレタン系)	(１ｍ当たり),その他,,式,1,1,1,1,1
