作業名,名称,摘要,単位,所要量,備考
モルタル	(1ｍ3当たり),セ メ ン ト,,㎏,670.0,
モルタル	(1ｍ3当たり),細 骨 材,砂,ｍ3,1.11,
モルタル	(1ｍ3当たり),普通作業員,,人,1.2,
モルタル	(1ｍ3当たり),そ の 他,,式,1,
