－,1.03,－.1,5.5 －,9.3,－.2,－.3,－.4,0.68,注
－,1.03,－,5.6－,9.9,－,－,－,0.73,
－,1.03,－,5.9－,10.7,－,－,－,0.79,
－,1.03,－,6.0－,－,9.6,－,－,0.84,
