名 称,摘 要,単位,ｸﾗｯｼｬﾗﾝ,再生ｸﾗｯｼｬﾗﾝ,備 考,注
砂利,,ｍ3,1.1,1.1,,
普通作業員,,人,0.2,0.2,,
その他,,式,1,1,,
