名 称,摘 要,単位,Ａ 種,Ｂ 種,備 考,注
アクリル樹脂系非水分散形塗料,JISK5670,kg,0.3,0.2,,
研磨紙,P220～240,枚,0.07,―,,
塗装工,,人,0.044,0.029,,
その他,,式,1,1,,
