名 称,摘 要,単位,所要量,備 考,注
ﾍﾞｰｽﾏｼﾝ運転,ﾊﾞｯｸﾎｳ0.8ｍ3,日,0.0345,,
ｺﾝｸﾘｰﾄ圧砕機,圧砕力549～981kN,日,0.0345,,
普通作業員,,人,0.0345,,
その他,,式,1,,
