細　目,摘　要,単位,材　料,雑材料,"電工
［人］",その他,備考,注
細目,摘要,単位,"ガーデンライト
［灯］",雑材料,"電工
［人］",その他,備考,
ガーデンライト,１灯形,灯,1,"１式
(材料価格×
0.02)",0.755,１式,,
ガーデンライト,２灯形,灯,1,"１式
(材料価格×
0.02)",0.906,１式,,
