名 称,摘 要,単位,所要量,備 考,備 考.1,注
合成樹脂エマルションシーラー,JISK5663,kg,0.007,,,
"つや有合成樹脂
エマルションペイント",JISK5660,kg,0.02,,,
合成樹脂ｴﾏﾙｼｮﾝﾊﾟﾃ,"JISK5669
(耐水形)(薄付け用)",kg,0.008,,,
木部下塗り用調合ペイント,JASS18M-304,kg,0.001,合成樹脂,,
研磨紙,P120～220,枚,0.02,,,
塗装工,,人,0.018,,,
その他,,式,1,,,
