"0.041
0.044
0.048
0.050
0.053","0.068
0.073
0.078
0.085
0.089",注
0.060,0.099,
0.064,0.111,
0.070,0.121,
"0.095
0.112
0.128
0.182","0.151
0.172
0.191
0.256",
"0.232
0.286","0.305
0.348",
