運搬距離,0.3,1.0,1.5,2.5,3.0,3.5,4.5,5.5,7.0,9.0,12.0,17.0,28.5,60.0,Unnamed: 15,注
(km),以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,,
運搬日数,0.45,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.3,1.5,1.8,2.3,3.0,4.5,,
ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,
運搬距離,0.3,1.0,1.5,2.5,3.0,3.5,4.5,5.0,6.5,8.0,11.0,15.0,24.0,60.0,,
(km),以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,,
運搬日数,0.45,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.3,1.5,1.8,2.3,3.0,4.5,,
