名 称,摘 要,単位,"ＲＡ種
(塗替え面)","ＲＢ種
(塗替え面)","ＲＣ種
(塗替え面)","付着物
除 去",備 考,注
合成樹脂エマルションシーラー,JISK5663,kg,0.1,0.03,―,―,,
合成樹脂エマルションパテ,JISK5669(耐水形),kg,0.23,0.08,―,―,,
研磨紙,P120～220,枚,0.13,0.07,―,―,,
研磨紙,P240～320,枚,―,―,0.07,―,,
塗装工,,人,0.041,0.012,0.004,0.002,,
その他,,式,1,1,1,1,,
