名 称,名 称.1,摘 要,単位,"ＲＡ種
(塗替え面)","ＲＢ種
(塗替え面)","ＲＣ種
(塗替え面)",備 考,注
研,磨紙,P120～220,枚,0.07,0.07,―,,
研,磨紙,P240～320,枚,―,―,0.07,,
塗,装工,,人,0.006,0.006,0.004,,
そ,の他,,式,1,1,1,,
