名 称,摘 要,単位,Ａ 種,Ｂ 種,付着物除去,備 考,注
合成樹脂エマルションシーラー,JISK5663,kg,0.1,0.1,―,,
合成樹脂エマルションパテ,JISK5669(耐水形),kg,0.23,0.08,―,,
研磨紙,P120～220,枚,0.13,0.07,―,,
塗装工,,人,0.041,0.019,0.002,,
その他,,式,1,1,1,,
