名 称,摘 要,単位,"厚3mm
特寸2.18㎡以下","厚5mm､6mm
特寸2.18㎡以下","厚5mm､6mm
特寸4.45㎡以下","厚5mm､6mm
特寸6.81㎡以下",備 考,注
熱線吸収板ガラス,,㎡,1.03,1.03,1.03,1.03,,
ガラス工,,人,0.05,0.09,0.14,0.17,,
その他,,式,1,1,1,1,,
