名 称,名 称.1,名 称.2,摘 要,単位,"ＲＡ種
(塗替え面)","ＲＢ種
(塗替え面)","ＲＣ種
(塗替え面)",備 考,注
合成樹脂エマルションパテ,合成樹脂エマルションパテ,合成樹脂エマルションパテ,JISK5669(一般形),kg,0.21,0.06,―,,
研,磨,紙,P120～220,枚,0.13,0.07,―,,
研,磨,紙,P240～320,枚,―,―,0.07,,
塗,装,工,,人,0.028,0.007,0.004,,
そ,の,他,,式,1,1,1,,
