摘要,摘要.1,単位,"材
管 [ ｍ ] 継 手","料
接合材等",支持金物,"配管工
[人]",はつり補修,その他,注
施工箇所,呼び径,単位,"材
管[ｍ]継手","料
接合材等",支持金物,"配管工
[人]",はつり補修,その他,
,75,,"１式
(管単価×
0.96)",,,0.376,,,
機械室・便所配管,100,ｍ,"１式
1.05(管単価×
0.86)",－,"１式
(管単価×
0.20)",0.386,"１式
(労務費×
0.08)",１式,
,125,,"１式
(管単価×
0.73)",,,0.395,,,
