掘削機械,最大掘削深さ,備,考,注
バックホウ1.4ｍ3,6ｍ,,,
バックホウ0.8ｍ3,5ｍ,,,
バックホウ0.45ｍ3,4ｍ,,,
バックホウ0.28ｍ3,3ｍ,,,
バックホウ0.13ｍ3,2ｍ,,,
