表,積込機械,クラムシェル,クラムシェル.1,クラムシェル.2,油圧ロープ式クローラ型0.6ｍ3,油圧ロープ式クローラ型0.6ｍ3.1,油圧ロープ式クローラ型0.6ｍ3.2,油圧ロープ式クローラ型0.6ｍ3.3,油圧ロープ式クローラ型0.6ｍ3.4,Unnamed:10,Unnamed:11,Unnamed:12,Unnamed:13,Unnamed:14,備考,注
別表RA-2-37-4ダンプトラック運搬日数(Ｄ)【専】(1台当たり),運搬機種,ダンプトラック10t積級,ダンプトラック10t積級,ダンプトラック10t積級,ダンプトラック10t積級,ダンプトラック10t積級,ダンプトラック10t積級,ダンプトラック10t積級,ダンプトラック10t積級,ダンプトラック10t積級,ダンプトラック10t積級,ダンプトラック10t積級,ダンプトラック10t積級,ダンプトラック10t積級,,
別表RA-2-37-4ダンプトラック運搬日数(Ｄ)【専】(1台当たり),ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,,
別表RA-2-37-4ダンプトラック運搬日数(Ｄ)【専】(1台当たり),運搬距離,0.5,1.0,2.0,3.5,4.5,5.5,7.0,9.5,13.0,19.5,37.5,60.0,,,
別表RA-2-37-4ダンプトラック運搬日数(Ｄ)【専】(1台当たり),(km),以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,,,
別表RA-2-37-4ダンプトラック運搬日数(Ｄ)【専】(1台当たり),運搬日数,0.059,0.067,0.077,0.091,0.111,0.125,0.143,0.167,0.200,0.250,0.333,0.500,,,
別表RA-2-37-4ダンプトラック運搬日数(Ｄ)【専】(1台当たり),ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,,
別表RA-2-37-4ダンプトラック運搬日数(Ｄ)【専】(1台当たり),運搬距離,0.5,1.0,2.0,3.5,4.0,5.0,6.5,8.5,12.0,17.0,28.0,60.0,,,
別表RA-2-37-4ダンプトラック運搬日数(Ｄ)【専】(1台当たり),(km),以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,,,
別表RA-2-37-4ダンプトラック運搬日数(Ｄ)【専】(1台当たり),運搬日数,0.059,0.067,0.077,0.091,0.111,0.125,0.143,0.167,0.200,0.250,0.333,0.500,,,
