表,作業名,機械名,規格,質量(ｔ),運搬機械-規格,運搬機械-日数(往復),備考,注
別表RA-22-7-1【専】,とりこわし機械運搬,バックホウ,排出ガス対策型油圧式クローラ型0.8ｍ3,19.8,トラック11ｔ積,2.0,,
別表RA-22-7-1【専】,とりこわし機械運搬,バックホウ,排出ガス対策型油圧式クローラ型0.5ｍ3,12.1,トラック11ｔ積,1.5,,
