表,作業名,名称,摘要,単位,ＲＣ造-太物(圧接),ＲＣ造-太物(重ね),ＲＣ造-細物,ＳＲＣ造-太物(圧接),ＳＲＣ造-細物,ＳＲＣ造-スパイラル筋,備考,注
表RA-4-3【市】【専】,鉄筋組立(1t当たり),鉄筋工,,人,0.79,0.93,2.13,1.0,2.25,1.73,,
表RA-4-3【市】【専】,鉄筋組立(1t当たり),普通作業員,,人,0.13,0.15,0.41,0.17,0.43,0.32,,
表RA-4-3【市】【専】,鉄筋組立(1t当たり),結束線,#21,㎏,0.5,1.0,6.0,0.5,6.0,5.0,,
表RA-4-3【市】【専】,鉄筋組立(1t当たり),その他,,式,1,1,1,1,1,1,,
