表,作業名,名称,摘要,単位,間柱及び簡易なもの-径13～16㎜,主柱用径16～19㎜,主柱用径22～25㎜,主柱用径28㎜以上,備考,注
表RA-7-5【専】,アンカーボルト埋込み(Ｂ種)(1本当たり),型わく工,,人,0.048,0.072,0.092,0.12,,
表RA-7-5【専】,アンカーボルト埋込み(Ｂ種)(1本当たり),その他,,式,1,1,1,1,,
