表,作業名,名称,摘要,単位,平物(㎡当たり)-小口平108×60㎜,平物(㎡当たり)-二丁掛平227×60㎜,役物(ｍ当たり)-小口曲がり(108+50)×60㎜,役物(ｍ当たり)-標準曲がり(168+50)×60㎜,役物(ｍ当たり)-小口屏風曲108×(60+50)㎜,役物(ｍ当たり)-二丁掛屏風曲227×(60+50)㎜,備考,注
表RA-11-2【設】【専】,外装壁タイル(改良積上げ張り)(1㎡・1ｍ当たり),外装タイル,,枚,135,67,15,15,9.5,4.5,,
表RA-11-2【設】【専】,外装壁タイル(改良積上げ張り)(1㎡・1ｍ当たり),セメント,,kg,5.2,5.0,0.75,1.03,0.48,0.55,,
表RA-11-2【設】【専】,外装壁タイル(改良積上げ張り)(1㎡・1ｍ当たり),細骨材,砂,ｍ3,0.009,0.009,0.0013,0.0019,0.0009,0.0009,,
表RA-11-2【設】【専】,外装壁タイル(改良積上げ張り)(1㎡・1ｍ当たり),タイル工,,人,0.3,0.29,0.11,0.11,0.125,0.125,,
表RA-11-2【設】【専】,外装壁タイル(改良積上げ張り)(1㎡・1ｍ当たり),普通作業員,,人,0.095,0.11,0.018,0.018,0.018,0.018,,
表RA-11-2【設】【専】,外装壁タイル(改良積上げ張り)(1㎡・1ｍ当たり),その他,,式,1,1,1,1,1,1,,
