表,名称,摘要,単位,"厚4mm
特寸2.18㎡以下","厚4mm
特寸4.45㎡以下","厚6mm
特寸2.18㎡以下","厚6mm
特寸4.45㎡以下",備考,注
表RA-16-6【市】【専】型板ガラス(1㎡当たり),型板ガラス,,㎡,1.03,1.03,1.03,1.03,,
表RA-16-6【市】【専】型板ガラス(1㎡当たり),ガラス工,,人,0.06,0.09,0.09,0.14,,
表RA-16-6【市】【専】型板ガラス(1㎡当たり),その他,,式,1,1,1,1,,
