表,作業名,細目,摘要呼び径,単位,材料,設備機械工［人］,その他,備考,考,注
表ＲＭ－２－１【設】,地下オイルタンク用附属品,細目,摘要呼び径,単位,計量口［個］,設備機械工［人］,その他,備,考,
表ＲＭ－２－１【設】,地下オイルタンク用附属品,計量口,32,個,1,0.30,１式,,,
