表,作業名,名称,摘要,単位,中詰めコンクリート補強筋有り-杭径300,中詰めコンクリート補強筋有り-杭径350,中詰めコンクリート補強筋有り-杭径400,中詰めコンクリート補強筋有り-杭径450,中詰めコンクリート補強筋有り-杭径500,中詰めコンクリート補強筋有り杭径600,中詰めコンクリート補強筋無し-杭径300～600,備考,注
表RA-3-1【設】,既製コンクリート杭杭頭補強(１か所当たり),コンクリート,,ｍ3,0.012,0.02,0.03,0.05,0.06,0.12,－,,
表RA-3-1【設】,既製コンクリート杭杭頭補強(１か所当たり),杭頭補強用底板,,個,1,1,1,1,1,1,1,,
表RA-3-1【設】,既製コンクリート杭杭頭補強(１か所当たり),異形鉄筋,SD295D10,㎏,1.6,2.1,3.0,4.0,5.0,6.9,－,,
表RA-3-1【設】,既製コンクリート杭杭頭補強(１か所当たり),異形鉄筋,SD295D13,㎏,4.0,6.5,7.0,9.9,10.5,11.8,－,,
表RA-3-1【設】,既製コンクリート杭杭頭補強(１か所当たり),鉄筋工,,人,0.05,0.05,0.06,0.09,0.10,0.12,－,,
表RA-3-1【設】,既製コンクリート杭杭頭補強(１か所当たり),特殊作業員,,人,0.02,0.03,0.05,0.08,0.09,0.19,0.02,,
表RA-3-1【設】,既製コンクリート杭杭頭補強(１か所当たり),普通作業員,,人,0.02,0.02,0.02,0.02,0.02,0.02,－,,
表RA-3-1【設】,既製コンクリート杭杭頭補強(１か所当たり),その他,,式,1,1,1,1,1,1,1,,
