表,作業名,名称,摘要,単位,所要量,備考,注
表RA-17-17【専】,【標仕仕様】オイルステイン塗り(ＯＳ)(1㎡当たり),オイルステイン,,kg,0.06,,
表RA-17-17【専】,【標仕仕様】オイルステイン塗り(ＯＳ)(1㎡当たり),塗装工,,人,0.052,,
表RA-17-17【専】,【標仕仕様】オイルステイン塗り(ＯＳ)(1㎡当たり),その他,,式,1,,
