表,作業名,細目,摘要,単位,材料,雑材料,電工［人］,普通作業員［人］,その他,備考,注
表RE-2-13【設】,建柱(イ)(人力),細目,摘要,単位,木柱［本］,雑材料,電工［人］,普通作業員［人］,その他,備考,
表RE-2-13【設】,建柱(イ)(人力),,6ｍ,,1,,0.461,0.252,,,
表RE-2-13【設】,建柱(イ)(人力),,7ｍ,,1,１式(材料価格×0.02),0.565,0.296,,,
表RE-2-13【設】,建柱(イ)(人力),木柱,8ｍ,本,1,１式(材料価格×0.02),0.696,0.339,１式,,
表RE-2-13【設】,建柱(イ)(人力),,9ｍ,,1,１式(材料価格×0.02),0.809,0.426,,,
表RE-2-13【設】,建柱(イ)(人力),,10ｍ,,1,,1.05,0.539,,,
