表,作業名,細目,摘要,単位,材料-合成樹脂製可とう電線管［ｍ］,材料-附属品,雑材料,電工［人］,その他,備考,注
表RE-1-2【市】,合成樹脂製可とう電線管,合成樹脂製可とう電線管(PF管、CD管),1416,ｍ,1.1,１式(電線管価格×0.25),１式(材料価格×0.02),0.0280.031,１式,,
表RE-1-2【市】,合成樹脂製可とう電線管,合成樹脂製可とう電線管(PF管、CD管),2228,ｍ,1.1,１式(電線管価格×0.25),１式(材料価格×0.02),0.0410.052,１式,,
