表,作業名,名称,摘要,単位,所要量,備考,注
表RA-2-15【設】【専】,根切り小規模土工(バックホウ0.13ｍ3)	(1ｍ3当たり),バックホウ運転,0.13ｍ3,日,0.05,,
表RA-2-15【設】【専】,根切り小規模土工(バックホウ0.13ｍ3)	(1ｍ3当たり),普通作業員,,人,0.03,,
表RA-2-15【設】【専】,根切り小規模土工(バックホウ0.13ｍ3)	(1ｍ3当たり),その他,,式,1,,
