表,作業名,細目,摘要,単位,材料,雑材料,電工［人］,その他,備考,注
表RE-2-7【設】,蛍光灯器具(ウ),細目,摘要,単位,蛍光灯器具［個］,雑材料,電工［人］,その他,備考,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ10Ｗ×1,,1,,0.139,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ20Ｗ×1,,1,,0.157,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ30Ｗ×1,個,1,,0.165,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ40Ｗ×1,,1,,0.252,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ110Ｗ×1,,1,,0.470,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ10Ｗ×2,,1,,0.165,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ20Ｗ×2,,1,１式,0.200,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ30Ｗ×2,個,1,材料価格,0.217,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ40Ｗ×2,,1,材料価格,0.313,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ110Ｗ×2,,1,材料価格,0.574,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ10Ｗ×3,,1,材料価格,0.209,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ20Ｗ×3,個,1,×,0.252,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ40Ｗ×3,個,1,0.05,0.409,,,
表RE-2-7【設】,蛍光灯器具(ウ),蛍光灯器具(つり下げ形),ＦＬ110Ｗ×3,,1,,0.730,１式,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ20Ｗ×4,,1,,0.365,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ40Ｗ×4,個,1,,0.530,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ110Ｗ×4,,1,,1.04,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ20Ｗ×5,,1,,0.365,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ40Ｗ×5,個,1,,0.530,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ110Ｗ×5,,1,,1.04,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ20Ｗ×6,,1,,0.365,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ40Ｗ×6,個,1,,0.530,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＬ110Ｗ×6,,1,,1.04,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＨＦ16Ｗ×1,個,1,,0.141,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＨＦ32Ｗ×1,個,1,,0.214,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＨＦ16Ｗ×2,個,1,,0.180,,,
表RE-2-7【設】,蛍光灯器具(ウ),,ＦＨＦ32Ｗ×2,個,1,,0.266,,,
